id,value
3.auguri,2512.562814070352
3.lentissimo,17587.939698492464
21.vedrà,2512.562814070352
11.provincia,5025.125628140704
3.modifica,17587.939698492464
21.centesimi,7537.688442211054
11.ndopo,2512.562814070352
21.truffe,716080.4020100503
3.regalare,12562.81407035176
21.bravi,2512.562814070352
3.pretendete,2512.562814070352
21.telefonata,2512.562814070352
3.mantenere,2512.562814070352
21.fisica,2512.562814070352
3.accedi,10050.251256281408
6.spot,17587.939698492464
3.pessima,5025.125628140704
11.sapete,35175.87939698493
21.cambio,2512.562814070352
11.posso,118090.45226130652
21.passo,5025.125628140704
11.seriamente,2512.562814070352
21.copertura,2512.562814070352
11.soddisfazione,2512.562814070352
3.ricariche,2512.562814070352
